B,M,P0_mean_ms,P0_std_ms,P1_mean_ms,P1_std_ms,P1_vs_P0,P2_mean_ms,P2_std_ms,P2_vs_P0,P3_mean_ms,P3_std_ms,P3_vs_P0,P4_mean_ms,P4_std_ms,P4_vs_P0,P5_mean_ms,P5_std_ms,P5_vs_P0,R,T_kv,config,mode
1,2048,0.7658,0.0713,0.8078,0.0218,0.948,,,,,,,5.3798,0.1392,0.142,5.6832,0.1657,0.135,1,2048,qwen25_05b,prefill
2,2048,1.4935,0.0447,1.4501,0.0134,1.03,,,,,,,11.3086,0.4456,0.132,12.3651,0.1514,0.121,1,2048,qwen25_05b,prefill
4,2048,2.6686,0.0216,2.6714,0.0221,0.999,,,,,,,23.7986,0.4195,0.112,23.7509,0.3089,0.112,1,2048,qwen25_05b,prefill
1,4096,2.6257,0.0973,2.6149,0.0433,1.004,,,,,,,24.2665,0.4612,0.108,23.5097,0.4241,0.112,1,4096,qwen25_05b,prefill
2,4096,4.9256,0.0458,4.9994,0.1392,0.985,,,,,,,44.9814,0.8447,0.11,46.6232,0.269,0.106,1,4096,qwen25_05b,prefill
4,4096,9.5483,0.2446,10.8,0.0408,0.884,,,,,,,93.1429,1.4752,0.103,93.0967,2.3976,0.103,1,4096,qwen25_05b,prefill
1,8192,9.7033,0.2388,10.7333,0.1068,0.904,,,,,,,93.1973,1.3199,0.104,91.3131,0.4468,0.106,1,8192,qwen25_05b,prefill
2,8192,20.2431,0.6086,20.7531,0.2477,0.975,,,,,,,184.455,0.627,0.11,186.1735,2.3593,0.109,1,8192,qwen25_05b,prefill
4,8192,39.6401,0.39,39.6701,0.3424,0.999,,,,,,,374.5666,1.7398,0.106,377.0674,4.4709,0.105,1,8192,qwen25_05b,prefill
1,512,0.221,0.0013,0.3401,0.002,0.65,,,,,,,1.768,0.0604,0.125,1.7328,0.0302,0.128,1,512,qwen25_7b,prefill
2,512,0.4069,0.0062,0.5358,0.0085,0.759,,,,,,,3.1718,0.0954,0.128,3.0583,0.066,0.133,1,512,qwen25_7b,prefill
4,512,0.855,0.0184,0.9422,0.0093,0.907,,,,,,,5.79,0.093,0.148,6.0569,0.1588,0.141,1,512,qwen25_7b,prefill
1,1024,0.7677,0.0106,0.8434,0.0101,0.91,,,,,,,5.7743,0.2046,0.133,6.5393,0.1261,0.117,1,1024,qwen25_7b,prefill
