config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,decode,65536,16,P0,10,5.5763,0.0075,5.5694,5.5946,5.5737,5.5694,5.5946,2869.3,0.13
qwen25_05b,decode,65536,16,P1,10,8.7576,0.0056,8.7523,8.7722,8.7572,8.7523,8.7722,1827.0,0.06
qwen25_05b,decode,65536,16,P3,10,1.7721,0.0034,1.7677,1.7801,1.7722,1.7677,1.7801,9028.8,0.19
qwen25_05b,decode,65536,16,P5,10,1.7739,0.0106,1.7659,1.7965,1.7706,1.7659,1.7965,9019.7,0.6
qwen25_05b,decode,65536,32,P0,10,11.1353,0.018,11.1217,11.1767,11.1305,11.1217,11.1767,2873.7,0.16
qwen25_05b,decode,65536,32,P1,10,17.4792,0.0466,17.4609,17.6114,17.4641,17.4609,17.6114,1830.7,0.27
qwen25_05b,decode,65536,32,P3,10,3.4492,0.0041,3.4447,3.459,3.4481,3.4447,3.459,9277.5,0.12
qwen25_05b,decode,65536,32,P5,10,3.4508,0.0065,3.4438,3.4619,3.4487,3.4438,3.4619,9273.2,0.19
qwen25_05b,decode,65536,64,P0,10,21.4656,0.1159,21.3411,21.5843,21.565,21.3411,21.5843,2981.5,0.54
qwen25_05b,decode,65536,64,P1,10,34.0795,0.0808,34.0205,34.2325,34.0339,34.0205,34.2325,1878.0,0.24
qwen25_05b,decode,65536,64,P3,10,5.2575,0.0161,5.2344,5.2809,5.2593,5.2344,5.2809,12173.1,0.31
qwen25_05b,decode,65536,64,P5,10,5.2579,0.0201,5.2333,5.2941,5.2587,5.2333,5.2941,12172.2,0.38
qwen25_05b,decode,65536,128,P0,10,42.9403,0.2422,42.6459,43.2661,43.0121,42.6459,43.2661,2980.9,0.56
qwen25_05b,decode,65536,128,P1,10,68.2948,0.2947,67.732,68.757,68.2782,67.732,68.757,1874.2,0.43
qwen25_05b,decode,65536,128,P3,10,9.3066,0.047,9.2569,9.3792,9.2849,9.2569,9.3792,13753.7,0.5
qwen25_05b,decode,65536,128,P5,10,9.2748,0.0085,9.2667,9.2947,9.2738,9.2667,9.2947,13800.8,0.09
qwen25_05b,decode,131072,1,P0,10,0.7303,0.0044,0.7253,0.7413,0.7303,0.7253,0.7413,1369.3,0.6
qwen25_05b,decode,131072,1,P1,10,1.2155,0.0051,1.2109,1.2281,1.2152,1.2109,1.2281,822.7,0.42
qwen25_05b,decode,131072,1,P3,10,2.7818,0.1111,2.6428,2.8754,2.8581,2.6428,2.8754,359.5,3.99
qwen25_05b,decode,131072,1,P5,10,2.6458,0.0059,2.6417,2.662,2.6444,2.6417,2.662,378.0,0.22
qwen25_05b,decode,131072,2,P0,10,1.3306,0.0029,1.3273,1.336,1.33,1.3273,1.336,1503.1,0.22
qwen25_05b,decode,131072,2,P1,10,2.2052,0.0041,2.2006,2.214,2.2041,2.2006,2.214,906.9,0.19
qwen25_05b,decode,131072,2,P3,10,3.2029,0.0041,3.1986,3.2124,3.2018,3.1986,3.2124,624.4,0.13
qwen25_05b,decode,131072,2,P5,10,3.2039,0.0037,3.2,3.2121,3.2033,3.2,3.2121,624.2,0.12
qwen25_05b,decode,131072,4,P0,10,2.6207,0.0047,2.6154,2.6289,2.621,2.6154,2.6289,1526.3,0.18
qwen25_05b,decode,131072,4,P1,10,4.2951,0.0063,4.2879,4.3058,4.2939,4.2879,4.3058,931.3,0.15
qwen25_05b,decode,131072,4,P3,10,3.2132,0.0055,3.2064,3.2268,3.2127,3.2064,3.2268,1244.9,0.17
qwen25_05b,decode,131072,4,P5,10,3.2154,0.0034,3.2108,3.2201,3.2156,3.2108,3.2201,1244.0,0.1
qwen25_05b,decode,131072,8,P0,10,5.176,0.0097,5.1645,5.1941,5.1741,5.1645,5.1941,1545.6,0.19
qwen25_05b,decode,131072,8,P1,10,8.42,0.0162,8.3985,8.4498,8.4215,8.3985,8.4498,950.1,0.19
qwen25_05b,decode,131072,8,P3,10,3.2019,0.0058,3.1936,3.2119,3.201,3.1936,3.2119,2498.5,0.18
qwen25_05b,decode,131072,8,P5,10,3.1965,0.0054,3.1905,3.2067,3.1951,3.1905,3.2067,2502.7,0.17
qwen25_05b,decode,131072,16,P0,10,11.4066,0.0572,11.3249,11.4784,11.4397,11.3249,11.4784,1402.7,0.5
qwen25_05b,decode,131072,16,P1,10,17.781,0.0123,17.7579,17.7994,17.7849,17.7579,17.7994,899.8,0.07
qwen25_05b,decode,131072,16,P3,10,3.5235,0.0086,3.5143,3.5387,3.5199,3.5143,3.5387,4540.9,0.24
