config,T_kv,B,pipeline,mean_ms,total_tps,oom
gemma3_12b,8192,4,P5,0.656,6097.6,False
gemma3_12b,8192,8,P0,1.5685,5100.4,False
gemma3_12b,8192,8,P5,0.6643,12042.8,False
gemma3_12b,8192,16,P0,3.084,5188.1,False
gemma3_12b,8192,16,P5,0.7911,20225.0,False
gemma3_12b,8192,32,P0,6.1366,5214.6,False
gemma3_12b,8192,32,P5,1.4843,21559.0,False
gemma3_12b,8192,64,P0,12.2206,5237.1,False
gemma3_12b,8192,64,P5,2.8776,22240.8,False
gemma3_12b,8192,128,P0,24.3365,5259.6,False
gemma3_12b,8192,128,P5,5.6957,22473.1,False
gemma3_12b,8192,256,P0,48.6917,5257.6,False
gemma3_12b,8192,256,P5,11.2636,22728.1,False
gemma3n_e4b,8192,1,P0,0.1343,7446.0,False
gemma3n_e4b,8192,1,P5,0.5378,1859.4,False
gemma3n_e4b,8192,2,P0,0.232,8620.7,False
gemma3n_e4b,8192,2,P5,0.5392,3709.2,False
gemma3n_e4b,8192,4,P0,0.4066,9837.7,False
gemma3n_e4b,8192,4,P5,0.5532,7230.7,False
gemma3n_e4b,8192,8,P0,0.7638,10473.9,False
gemma3n_e4b,8192,8,P5,0.6459,12385.8,False
gemma3n_e4b,8192,16,P0,1.4852,10773.0,False
gemma3n_e4b,8192,16,P5,0.6556,24405.1,False
gemma3n_e4b,8192,32,P0,2.9204,10957.4,False
gemma3n_e4b,8192,32,P5,0.7688,41623.3,False
gemma3n_e4b,8192,64,P0,5.8069,11021.4,False
gemma3n_e4b,8192,64,P5,1.4685,43581.9,False
gemma3n_e4b,8192,128,P0,11.5639,11068.9,False
gemma3n_e4b,8192,128,P5,2.8596,44761.5,False
gemma3n_e4b,8192,256,P0,23.0239,11118.9,False
gemma3n_e4b,8192,256,P5,5.5968,45740.4,False
deepseek_r1_7b,8192,1,P0,0.1999,5002.5,False
deepseek_r1_7b,8192,1,P5,0.3484,2870.3,False
deepseek_r1_7b,8192,2,P0,0.3496,5720.8,False
deepseek_r1_7b,8192,2,P5,0.3483,5742.2,False
deepseek_r1_7b,8192,4,P0,0.6587,6072.6,False
deepseek_r1_7b,8192,4,P5,0.349,11461.3,False
deepseek_r1_7b,8192,8,P0,1.3422,5960.4,False
deepseek_r1_7b,8192,8,P5,0.467,17130.6,False
deepseek_r1_7b,8192,16,P0,2.6623,6009.8,False
deepseek_r1_7b,8192,16,P5,0.891,17957.4,False
deepseek_r1_7b,8192,32,P0,5.145,6219.6,False
deepseek_r1_7b,8192,32,P5,1.6764,19088.5,False
deepseek_r1_7b,8192,64,P0,10.253,6242.1,False
deepseek_r1_7b,8192,64,P5,2.9961,21361.1,False
deepseek_r1_7b,8192,128,P0,20.5107,6240.6,False
deepseek_r1_7b,8192,128,P5,5.874,21790.9,False
deepseek_r1_7b,8192,256,P0,41.024,6240.2,False
deepseek_r1_7b,8192,256,P5,11.6029,22063.4,False
phi4_14b,8192,1,P0,0.2786,3589.4,False
phi4_14b,8192,1,P5,0.3504,2853.9,False
phi4_14b,8192,2,P0,0.4963,4029.8,False
phi4_14b,8192,2,P5,0.3494,5724.1,False
phi4_14b,8192,4,P0,0.9489,4215.4,False
phi4_14b,8192,4,P5,0.4739,8440.6,False
