config,B,T_kv,pipeline,max_memory_mb,oom
gemma3_12b,32,2048,P0,1795.7,False
gemma3_12b,32,2048,P5,1199.8,False
gemma3_12b,32,4096,P0,3557.3,False
gemma3_12b,32,4096,P5,2365.8,False
gemma3_12b,32,8192,P0,7080.5,False
gemma3_12b,32,8192,P5,4697.9,False
gemma3_12b,32,16384,P0,14126.9,False
gemma3_12b,32,16384,P5,9361.9,False
gemma3_12b,32,32768,P0,28219.8,False
gemma3_12b,32,32768,P5,18690.1,False
gemma3_12b,32,65536,P0,56405.5,False
gemma3_12b,32,65536,P5,37346.3,False
gemma3_12b,32,131072,P0,0,True
gemma3_12b,32,131072,P5,0,True
gemma3n_e4b,1,512,P0,39.2,False
gemma3n_e4b,1,512,P5,35.8,False
gemma3n_e4b,1,1024,P0,44.8,False
gemma3n_e4b,1,1024,P5,38.1,False
gemma3n_e4b,1,2048,P0,56.0,False
gemma3n_e4b,1,2048,P5,42.7,False
gemma3n_e4b,1,4096,P0,78.1,False
gemma3n_e4b,1,4096,P5,51.8,False
gemma3n_e4b,1,8192,P0,122.4,False
gemma3n_e4b,1,8192,P5,70.0,False
gemma3n_e4b,1,16384,P0,211.0,False
gemma3n_e4b,1,16384,P5,106.4,False
gemma3n_e4b,1,32768,P0,388.2,False
gemma3n_e4b,1,32768,P5,179.3,False
gemma3n_e4b,1,65536,P0,742.6,False
gemma3n_e4b,1,65536,P5,325.1,False
gemma3n_e4b,1,131072,P0,1451.5,False
gemma3n_e4b,1,131072,P5,616.6,False
gemma3n_e4b,32,512,P0,211.0,False
gemma3n_e4b,32,512,P5,106.6,False
gemma3n_e4b,32,1024,P0,388.2,False
gemma3n_e4b,32,1024,P5,179.4,False
gemma3n_e4b,32,2048,P0,742.7,False
gemma3n_e4b,32,2048,P5,325.2,False
gemma3n_e4b,32,4096,P0,1451.5,False
gemma3n_e4b,32,4096,P5,616.7,False
gemma3n_e4b,32,8192,P0,2869.2,False
gemma3n_e4b,32,8192,P5,1199.7,False
gemma3n_e4b,32,16384,P0,5704.5,False
gemma3n_e4b,32,16384,P5,2365.7,False
gemma3n_e4b,32,32768,P0,11375.2,False
gemma3n_e4b,32,32768,P5,4697.8,False
gemma3n_e4b,32,65536,P0,22716.6,False
gemma3n_e4b,32,65536,P5,9361.8,False
gemma3n_e4b,32,131072,P0,45399.4,False
gemma3n_e4b,32,131072,P5,18689.9,False
deepseek_r1_7b,1,512,P0,42.3,False
deepseek_r1_7b,1,512,P5,35.8,False
deepseek_r1_7b,1,1024,P0,51.1,False
deepseek_r1_7b,1,1024,P5,38.1,False
deepseek_r1_7b,1,2048,P0,68.4,False
deepseek_r1_7b,1,2048,P5,42.7,False
deepseek_r1_7b,1,4096,P0,103.1,False
deepseek_r1_7b,1,4096,P5,51.8,False
deepseek_r1_7b,1,8192,P0,172.6,False
deepseek_r1_7b,1,8192,P5,70.0,False
deepseek_r1_7b,1,16384,P0,311.6,False
deepseek_r1_7b,1,16384,P5,106.4,False
deepseek_r1_7b,1,32768,P0,589.4,False
deepseek_r1_7b,1,32768,P5,179.3,False
deepseek_r1_7b,1,65536,P0,1145.2,False
deepseek_r1_7b,1,65536,P5,325.1,False
deepseek_r1_7b,1,131072,P0,2256.7,False
deepseek_r1_7b,1,131072,P5,616.6,False
deepseek_r1_7b,32,512,P0,311.9,False
deepseek_r1_7b,32,512,P5,106.7,False
deepseek_r1_7b,32,1024,P0,589.8,False
deepseek_r1_7b,32,1024,P5,179.5,False
deepseek_r1_7b,32,2048,P0,1145.5,False
deepseek_r1_7b,32,2048,P5,325.3,False
deepseek_r1_7b,32,4096,P0,2257.0,False
deepseek_r1_7b,32,4096,P5,616.8,False
deepseek_r1_7b,32,8192,P0,4480.0,False
deepseek_r1_7b,32,8192,P5,1199.8,False
