W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,kv_mb_per_tok,kv_kept_mean,feasible
1433,1638,0.5672641002266396,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.719811078161001,20.133888,1638.5,False
1433,1638,0.6295167079745292,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.661059524863958,19.2,1562.5,False
1433,1638,0.6295167079745292,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.720541700720787,20.133888,1638.5,False
1433,1843,0.5199996582794825,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.664467699825764,19.2,1562.5,False
1433,1843,0.5199996582794825,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.720013175159693,20.133888,1638.5,False
1433,1843,0.5672641002266396,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.659630410373211,19.2,1562.5,False
1433,1843,0.5672641002266396,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.72167744860053,20.133888,1638.5,False
1433,1843,0.6295167079745292,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.658333543688059,19.2,1562.5,False
1433,1843,0.6295167079745292,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.715392883867025,20.133888,1638.5,False
1433,1945,0.5199996582794825,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.654494632035494,19.2,1562.5,False
1433,1945,0.5199996582794825,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.71092439815402,20.133888,1638.5,False
1433,1945,0.5672641002266396,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.655490215867758,19.2,1562.5,False
1433,1945,0.5672641002266396,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.711063165217638,20.133888,1638.5,False
1433,1945,0.6295167079745292,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.652638040482998,19.2,1562.5,False
1433,1945,0.6295167079745292,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.709534864872694,20.133888,1638.5,False
1638,1843,0.5199996582794825,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.967580135911703,21.71904,1767.5,False
1638,1843,0.5199996582794825,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.015289463102818,22.652928000000003,1843.5,False
1638,1843,0.5672641002266396,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.978452861309052,21.71904,1767.5,False
1638,1843,0.5672641002266396,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.02437311783433,22.652928000000003,1843.5,False
1638,1843,0.6295167079745292,0.95,4,2.0,8,297.8160785293748,2639.7146384187954,10.962954722344875,21.71904,1767.5,False
1638,1843,0.6295167079745292,0.95,4,4.0,8,254.86361044423458,2244.579808391585,11.011072900146246,22.652928000000003,1843.5,False
